"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
4012526	6190773033	"R06"	"COL"	0.132216096841609	0.0830082358040746	0.0525470095366649	0.167584152104026
4012542	6229017163	"R04"	"COL"	0.0624287635619434	0.00211313394018209	0.105779125819206	0.260774015519923
4012569	6229025016	"R01"	"COL"	0.386253797081404	0.349452703426491	0.132089360555957	0.138235239918293
4012577	6929718158	"R04"	"COL"	0.180549800016084	0.226863892501084	0.140334723501056	0.218510111784641
4012585	5806361023	"R03"	"COL"	0.410122760584892	0.102867526875823	0.111018257233999	0.164276359619917
4012593	6229076111	"R04"	"COL"	0.484312850498431	0.00151712180320762	0.077560526458322	0.22987281475922
4012607	5806361039	"R01"	"COL"	0.112547553712273	0.000270914607715667	0.0462546715051725	0.307913792210387
4012623	6229076139	"R03"	"COL"	0.196564058096683	0.00335934113567404	0.131624688811036	0.257550452508665
4012640	6229076111	"R02"	"COL"	0.135432473444613	0.000812743823146889	0.196284460813519	0.213153836161548
4012690	6247004010	"R06"	"COL"	0.145946238890093	0.00698959687906375	0.0697611439094405	0.270906382277334
4012720	8221916118	"R06"	"COL"	0.0941823431165526	0.00270914607715644	0.0630450089367925	0.186723068441825
4012747	8221924069	"R06"	"COL"	0.0797265153476784	0.12933463372345	0.0768222978779824	0.150647346515999
4012763	6229076077	"R06"	"COL"	0.0989901461601975	0.00774815778066751	0.11100175680194	0.2298651440066
4012780	8221916118	"R05"	"COL"	0.177379145892044	0.0004876462938882	0.14672713249802	0.224651455957455
4012828	8221924147	"R04"	"COL"	0.0568922195954163	0.0389331490957192	0.0961923847695391	0.233395488555843
4012925	6229025008	"R01"	"COL"	0.0708087960477995	0.121640658864326	0.0141363808698478	0.230447934970938
4012941	6229025008	"R02"	"COL"	0.0943682825826695	0.00287169484178584	0.0764772788820886	0.250034694723235
4012992	6229076038	"R06"	"COL"	0.0781613116294801	5.41829215431333e-05	0.0473920814602178	0.163976198783573
4013018	6229017119	"R01"	"COL"	0.1277135018418	0.00162548764629389	0.0745620363335321	0.223625749740594
4013042	7800246108	"R04"	"COL"	0.105699414130666	0.0319679237104464	0.05909115528354	0.22575986412346
